Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
2	141942253	100.0	98.68	1.32	42867	91.51	82.84	32.31	626749540	571839609	172696	170628_NB501012_0156_AHVVWNBGX2	nextseq_umc01
3	143880214	100.0	98.69	1.31	43452	91.07	83.08	32.36	626749540	571839609	172696	170628_NB501012_0156_AHVVWNBGX2	nextseq_umc01
4	144174423	100.0	98.62	1.38	43541	91.09	83.2	32.38	626749540	571839609	172696	170628_NB501012_0156_AHVVWNBGX2	nextseq_umc01
1	132883977	100.0	98.57	1.43	40131	92.18	84.31	32.56	575864525	529896224	160029	170703_NB501012_0158_AH3LNJBGX3	nextseq_umc01
2	129925015	100.0	98.45	1.55	39237	91.98	84.65	32.62	575864525	529896224	160029	170703_NB501012_0158_AH3LNJBGX3	nextseq_umc01
3	133433031	100.0	98.49	1.51	40297	91.74	84.39	32.58	575864525	529896224	160029	170703_NB501012_0158_AH3LNJBGX3	nextseq_umc01
4	133654201	100.0	98.51	1.49	40364	92.17	84.48	32.61	575864525	529896224	160029	170703_NB501012_0158_AH3LNJBGX3	nextseq_umc01
1	130957845	100.0	98.69	1.31	39549	90.92	81.31	32.01	575382961	524228741	158317	170710_NB501012_0161_AHVW3FBGX2	nextseq_umc01
2	129701768	100.0	98.66	1.34	39170	91.37	82.62	32.27	575382961	524228741	158317	170710_NB501012_0161_AHVW3FBGX2	nextseq_umc01
3	131943539	100.0	98.68	1.32	39847	90.89	81.83	32.1	575382961	524228741	158317	170710_NB501012_0161_AHVW3FBGX2	nextseq_umc01
4	131625589	100.0	98.66	1.34	39751	91.26	81.94	32.12	575382961	524228741	158317	170710_NB501012_0161_AHVW3FBGX2	nextseq_umc01
1	125861704	100.0	98.61	1.39	38010	90.43	82.44	32.19	566819287	512852769	154882	170713_NB501012_0162_AHVWCHBGX2	nextseq_umc01
2	127730509	100.0	98.55	1.45	38575	90.44	82.71	32.23	566819287	512852769	154882	170713_NB501012_0162_AHVWCHBGX2	nextseq_umc01
3	131230384	100.0	98.64	1.36	39632	90.75	82.5	32.21	566819287	512852769	154882	170713_NB501012_0162_AHVWCHBGX2	nextseq_umc01
4	128030172	100.0	98.5	1.5	38665	90.28	82.79	32.25	566819287	512852769	154882	170713_NB501012_0162_AHVWCHBGX2	nextseq_umc01
1	139111905	100.0	98.71	1.29	42012	90.56	79.12	31.54	618228155	559701579	169030	170714_NB501012_0163_AHVW3VBGX2	nextseq_umc01
2	140259722	100.0	98.64	1.36	42358	90.66	79.73	31.67	618228155	559701579	169030	170714_NB501012_0163_AHVW3VBGX2	nextseq_umc01
3	141530633	100.0	98.68	1.32	42742	90.34	80.17	31.75	618228155	559701579	169030	170714_NB501012_0163_AHVW3VBGX2	nextseq_umc01
4	138799319	100.0	98.66	1.34	41917	90.58	80.67	31.87	618228155	559701579	169030	170714_NB501012_0163_AHVW3VBGX2	nextseq_umc01
1	135226479	100.0	98.27	1.73	40838	89.95	80.81	31.9	606651921	545690652	164799	170717_NB501012_0164_AHVWJHBGX2	nextseq_umc01
2	135473495	100.0	96.37	3.63	40913	90.18	81.66	32.07	606651921	545690652	164799	170717_NB501012_0164_AHVWJHBGX2	nextseq_umc01
3	137684330	100.0	98.35	1.65	41581	89.66	81.41	32.0	606651921	545690652	164799	170717_NB501012_0164_AHVWJHBGX2	nextseq_umc01
4	137306348	100.0	98.32	1.68	41467	90.02	82.08	32.14	606651921	545690652	164799	170717_NB501012_0164_AHVWJHBGX2	nextseq_umc01
1	138437192	100.0	98.4	1.6	41808	88.54	79.84	31.69	624916011	550552180	166267	170719_NB501012_0165_AHVWKLBGX2	nextseq_umc01
2	135202089	100.0	96.93	3.07	40831	88.33	80.25	31.76	624916011	550552180	166267	170719_NB501012_0165_AHVWKLBGX2	nextseq_umc01
3	139326009	100.0	98.25	1.75	42076	87.65	80.02	31.71	624916011	550552180	166267	170719_NB501012_0165_AHVWKLBGX2	nextseq_umc01
4	137586890	100.0	98.11	1.89	41551	87.9	79.83	31.67	624916011	550552180	166267	170719_NB501012_0165_AHVWKLBGX2	nextseq_umc01
1	131170338	100.0	98.66	1.34	39613	91.51	80.77	31.89	567885352	521582762	157518	170724_NB501012_0167_AHVW3HBGX2	nextseq_umc01
2	129712086	100.0	98.61	1.39	39173	91.94	81.22	31.96	567885352	521582762	157518	170724_NB501012_0167_AHVW3HBGX2	nextseq_umc01
3	130870188	100.0	98.65	1.35	39523	91.83	81.84	32.1	567885352	521582762	157518	170724_NB501012_0167_AHVW3HBGX2	nextseq_umc01
4	129830150	100.0	98.6	1.4	39209	92.1	82.35	32.21	567885352	521582762	157518	170724_NB501012_0167_AHVW3HBGX2	nextseq_umc01
1	131264992	100.0	98.71	1.29	39642	91.16	81.03	31.94	585869756	533833890	161218	170727_NB501012_0168_AHVW5MBGX2	nextseq_umc01
2	133182986	100.0	96.52	3.48	40221	91.3	80.76	31.88	585869756	533833890	161218	170727_NB501012_0168_AHVW5MBGX2	nextseq_umc01
3	135596439	100.0	98.67	1.33	40950	90.89	81.51	32.03	585869756	533833890	161218	170727_NB501012_0168_AHVW5MBGX2	nextseq_umc01
4	133789473	100.0	98.59	1.41	40404	91.13	81.71	32.08	585869756	533833890	161218	170727_NB501012_0168_AHVW5MBGX2	nextseq_umc01
1	134731875	100.0	98.8	1.2	40689	91.24	80.08	31.74	587804619	536092770	161900	170731_NB501012_0170_AH52MTBGX3	nextseq_umc01
2	131669389	100.0	98.68	1.32	39764	91.33	81.78	32.1	587804619	536092770	161900	170731_NB501012_0170_AH52MTBGX3	nextseq_umc01
3	133392453	100.0	98.74	1.26	40285	91.01	81.37	32.01	587804619	536092770	161900	170731_NB501012_0170_AH52MTBGX3	nextseq_umc01
4	136299053	100.0	98.68	1.32	41162	91.24	80.87	31.9	587804619	536092770	161900	170731_NB501012_0170_AH52MTBGX3	nextseq_umc01
1	123816249	100.0	98.91	1.09	37393	92.56	79.99	31.72	533419415	493987391	149184	170802_NB501012_0171_AH535GBGX3_2	nextseq_umc01
2	123452481	100.0	98.85	1.15	37283	92.7	81.67	32.07	533419415	493987391	149184	170802_NB501012_0171_AH535GBGX3_2	nextseq_umc01
3	123378896	100.0	98.6	1.4	37260	92.7	81.3	31.97	533419415	493987391	149184	170802_NB501012_0171_AH535GBGX3_2	nextseq_umc01
4	123339765	100.0	98.85	1.15	37249	92.47	81.13	31.95	533419415	493987391	149184	170802_NB501012_0171_AH535GBGX3_2	nextseq_umc01
1	130174936	100.0	98.71	1.29	39313	91.81	80.55	31.84	570725787	523587286	158123	170804_NB501012_0172_AH3GHLBGX3	nextseq_umc01
2	129378957	100.0	98.64	1.36	39072	91.89	81.94	32.13	570725787	523587286	158123	170804_NB501012_0172_AH3GHLBGX3	nextseq_umc01
3	131473382	100.0	98.63	1.37	39705	91.52	81.62	32.06	570725787	523587286	158123	170804_NB501012_0172_AH3GHLBGX3	nextseq_umc01
4	132560011	100.0	98.62	1.38	40033	91.75	81.33	32.0	570725787	523587286	158123	170804_NB501012_0172_AH3GHLBGX3	nextseq_umc01
1	121532125	100.0	98.32	1.68	36703	88.31	80.63	31.79	551296706	489258886	147756	170807_NB501012_0173_AHG22VBGX3	nextseq_umc01
2	120355235	100.0	98.24	1.76	36347	88.47	80.3	31.73	551296706	489258886	147756	170807_NB501012_0173_AHG22VBGX3	nextseq_umc01
3	123381673	100.0	98.37	1.63	37261	88.99	81.57	32.0	551296706	489258886	147756	170807_NB501012_0173_AHG22VBGX3	nextseq_umc01
4	123989853	100.0	98.34	1.66	37445	89.21	81.42	31.97	551296706	489258886	147756	170807_NB501012_0173_AHG22VBGX3	nextseq_umc01
1	130726731	100.0	98.73	1.27	39479	91.17	80.67	31.87	575715291	524393060	158367	170811_NB501012_0176_AH3HT3BGX3	nextseq_umc01
2	129566354	100.0	98.67	1.33	39129	91.21	81.89	32.12	575715291	524393060	158367	170811_NB501012_0176_AH3HT3BGX3	nextseq_umc01
3	132390814	100.0	98.7	1.3	39982	90.93	81.7	32.07	575715291	524393060	158367	170811_NB501012_0176_AH3HT3BGX3	nextseq_umc01
4	131709161	100.0	98.65	1.35	39776	91.04	81.63	32.06	575715291	524393060	158367	170811_NB501012_0176_AH3HT3BGX3	nextseq_umc01
1	120036628	100.0	98.58	1.42	36251	89.6	82.24	32.14	540576033	483283757	145952	170814_NB501012_0177_AHFNYWBGX3	nextseq_umc01
2	119674102	100.0	98.43	1.57	36142	89.32	82.05	32.1	540576033	483283757	145952	170814_NB501012_0177_AHFNYWBGX3	nextseq_umc01
3	121658996	100.0	98.52	1.48	36741	89.13	82.11	32.1	540576033	483283757	145952	170814_NB501012_0177_AHFNYWBGX3	nextseq_umc01
4	121914031	100.0	98.48	1.52	36818	89.56	81.66	32.04	540576033	483283757	145952	170814_NB501012_0177_AHFNYWBGX3	nextseq_umc01
1	134484355	100.0	98.54	1.46	40614	90.62	80.86	31.89	595682705	540502088	163232	170816_NB501012_0178_AH535KBGX3	nextseq_umc01
2	135297931	100.0	96.45	3.55	40860	90.75	81.35	31.99	595682705	540502088	163232	170816_NB501012_0178_AH535KBGX3	nextseq_umc01
3	136672186	100.0	98.46	1.54	41275	90.69	81.89	32.1	595682705	540502088	163232	170816_NB501012_0178_AH535KBGX3	nextseq_umc01
4	134047616	100.0	98.48	1.52	40482	90.9	82.18	32.16	595682705	540502088	163232	170816_NB501012_0178_AH535KBGX3	nextseq_umc01
1	128205379	100.0	98.83	1.17	38718	92.09	79.95	31.71	557132470	513383632	155042	170821_NB501012_0180_AH52MKBGX3	nextseq_umc01
2	127297915	100.0	98.76	1.24	38444	92.25	81.09	31.95	557132470	513383632	155042	170821_NB501012_0180_AH52MKBGX3	nextseq_umc01
3	129345906	100.0	98.81	1.19	39062	92.16	81.07	31.94	557132470	513383632	155042	170821_NB501012_0180_AH52MKBGX3	nextseq_umc01
4	128534432	100.0	98.74	1.26	38817	92.09	81.55	32.05	557132470	513383632	155042	170821_NB501012_0180_AH52MKBGX3	nextseq_umc01
1	125374343	100.0	98.34	1.66	37863	88.01	81.48	31.97	565425587	493483704	149032	170825_NB501012_0182_AHFVFLBGX3	nextseq_umc01
2	121259149	100.0	98.07	1.93	36620	86.79	80.09	31.66	565425587	493483704	149032	170825_NB501012_0182_AHFVFLBGX3	nextseq_umc01
3	124483540	100.0	98.29	1.71	37594	87.58	81.17	31.9	565425587	493483704	149032	170825_NB501012_0182_AHFVFLBGX3	nextseq_umc01
4	122366672	100.0	98.09	1.91	36955	86.71	80.36	31.71	565425587	493483704	149032	170825_NB501012_0182_AHFVFLBGX3	nextseq_umc01
1	116445796	100.0	98.1	1.9	35167	87.44	80.73	31.77	532944253	462417647	139650	170828_NB501012_0183_AHFVFMBGX3	nextseq_umc01
2	114989672	100.0	97.93	2.07	34727	87.13	80.17	31.65	532944253	462417647	139650	170828_NB501012_0183_AHFVFMBGX3	nextseq_umc01
3	115571367	100.0	97.94	2.06	34903	86.57	80.27	31.67	532944253	462417647	139650	170828_NB501012_0183_AHFVFMBGX3	nextseq_umc01
4	115410812	100.0	97.77	2.23	34854	85.94	79.79	31.56	532944253	462417647	139650	170828_NB501012_0183_AHFVFMBGX3	nextseq_umc01
1	121198489	100.0	97.81	2.19	36602	87.43	80.67	31.74	559237472	492260424	148663	170901_NB501012_0185_AHFT2JBGX3	nextseq_umc01
